C,BAND,SPEC,AGE,SEX,BP,MONTH,DAY,YEAR,TIME,NET
R,245106690,NOCA,1,F,2,5,21,2013,104,6
R,245106655,NOCA,1,F,4,6,8,2013,63,3
R,245113301,NOCA,6,M,0,6,15,2013,63,5
R,198102199,NOCA,0,F,3,6,15,2013,103,10
R,245106635,NOCA,1,M,0,6,22,2013,113,4
R,198103094,NOCA,1,M,0,7,6,2013,91,5
R,245106636,NOCA,1,M,0,7,13,2013,83,2
R,198103008,NOCA,1,M,0,7,20,2013,64,5
R,198102991,NOCA,1,F,4,7,20,2013,104,5
R,245106661,NOCA,1,F,4,8,3,2013,94,4
N,245113316,NOCA,1,M,0,5,17,2014,64,6
N,245113317,NOCA,1,F,0,5,17,2014,64,4
N,245113318,NOCA,1,M,0,5,17,2014,94,9
N,245113319,NOCA,1,M,0,5,24,2014,64,3
N,245113320,NOCA,1,F,0,5,24,2014,84,4
N,245113321,NOCA,1,F,0,5,24,2014,114,9
N,245113322,NOCA,1,F,0,6,7,2014,73,9
N,245113323,NOCA,1,F,4,6,7,2014,73,3
N,245113324,NOCA,1,F,0,6,7,2014,73,4
N,245113325,NOCA,1,F,3,6,7,2014,83,10
N,245113326,NOCA,1,F,4,6,7,2014,113,2
N,245113327,NOCA,1,M,0,6,7,2014,113,4
N,245113328,NOCA,1,F,4,6,14,2014,73,10
N,245113329,NOCA,1,F,4,6,14,2014,83,7
N,245113330,NOCA,1,F,4,6,14,2014,93,8
N,245113331,NOCA,1,M,0,6,14,2014,103,1
N,245113332,NOCA,1,M,0,6,14,2014,103,6
N,245113333,NOCA,1,M,0,7,9,2014,73,1
N,245113334,NOCA,1,M,0,8,2,2014,94,9
N,245113335,NOCA,2,F,0,8,2,2014,104,9
R,245113312,NOCA,1,F,4,5,17,2014,74,1
R,198103008,NOCA,1,M,0,5,17,2014,74,1
